1395871272.53,87
1395871277.87,92
1395871277.99,97
1395871278.84,147
1395871278.93,184
1395871279.83,234
1395871279.93,271
1395871281.03,358
1395871282.04,445
1395871282.96,495
1395871283.05,532
1395871284.03,619
1395871284.96,669
1395871285.06,706
1395871285.96,756
1395871286.05,793
1395871286.95,843
1395871287.05,880
1395871288.71,967
1395871288.95,1017
1395871289.05,1054
1395871289.96,1104
1395871290.05,1141
1395871290.95,1191
1395871291.05,1228
1395871291.96,1278
1395871292.05,1315
1395871292.95,1365
1395871293.05,1402
1395871293.96,1452
1395871294.05,1489
1395871294.95,1539
1395871295.05,1576
1395871295.96,1626
1395871296.05,1663
1395871296.96,1713
1395871297.18,1750
1395871298.16,1837
1395871299.09,1887
1395871299.18,1924
1395871300.18,2011
1395871301.09,2061
1395871301.18,2098
1395871302.09,2148
1395871302.18,2185
1395871303.09,2235
1395871303.18,2272
1395871304.09,2322
1395871304.18,2359
1395871305.08,2409
1395871305.18,2446
1395871306.08,2496
1395871306.18,2533
1395871307.08,2583
1395871307.18,2620
1395871308.08,2670
1395871308.18,2707
1395871309.08,2757
1395871309.18,2794
1395871310.09,2844
1395871310.18,2881
1395871311.08,2931
1395871311.18,2968
1395871312.29,3055
1395871313.29,3142
1395871314.22,3192
1395871314.31,3229
1395871315.21,3279
1395871315.31,3316
1395871316.22,3366
1395871316.32,3403
1395871317.22,3453
1395871317.31,3490
1395871318.22,3540
1395871318.32,3577
1395871319.22,3627
1395871319.32,3664
1395871320.22,3714
1395871320.31,3751
1395871321.21,3801
1395871321.31,3838
1395871322.22,3888
1395871322.31,3925
1395871323.22,3975
1395871323.31,4012
1395871324.22,4062
1395871324.31,4099
1395871325.21,4149
1395871325.31,4186
1395871326.22,4236
1395871326.34,4273
1395871327.21,4323
1395871327.31,4360
1395871328.42,4447
1395871329.34,4497
1395871329.43,4534
1395871330.41,4621
1395871331.34,4671
1395871331.44,4708
1395871332.34,4758
1395871332.43,4795
1395871333.34,4845
1395871333.44,4882
1395871334.35,4932
1395871334.44,4969
1395871335.34,5019
1395871335.44,5056
1395871336.34,5106
1395871336.44,5143
1395871337.34,5193
1395871337.44,5230
1395871338.34,5280
1395871338.44,5317
1395871339.34,5367
1395871339.44,5404
1395871340.34,5454
1395871340.44,5491
1395871341.34,5541
1395871341.44,5578
1395871342.34,5628
1395871342.43,5665
1395871343.54,5752
1395871344.54,5839
1395871345.54,5926
1395871346.55,6013
1395871347.46,6063
1395871347.56,6100
1395871348.47,6150
1395871348.56,6187
1395871349.47,6237
1395871349.56,6274
1395871350.47,6324
1395871350.56,6361
1395871351.47,6411
1395871351.57,6448
1395871352.46,6498
1395871352.56,6535
1395871353.47,6585
1395871353.57,6622
1395871354.47,6672
1395871354.57,6709
1395871355.47,6759
1395871355.56,6796
1395871356.47,6846
1395871356.56,6883
1395871357.47,6933
1395871357.56,6970
1395871358.57,7057
1395871359.47,7107
1395871359.56,7144
1395871360.67,7231
1395871361.69,7318
1395871362.6,7368
1395871362.69,7405
1395871363.69,7492
1395871364.6,7542
1395871364.69,7579
1395871365.59,7629
1395871365.69,7666
1395871366.69,7753
1395871367.6,7803
1395871367.7,7840
1395871368.6,7890
1395871368.7,7927
1395871369.69,8014
1395871370.6,8064
1395871370.69,8101
1395871371.6,8151
1395871371.7,8188
1395871372.69,8275
1395871373.6,8325
1395871373.69,8362
1395871374.6,8412
1395871374.69,8449
1395871375.81,8536
1395871376.8,8623
1395871377.8,8710
1395871378.81,8797
1395871379.81,8884
1395871380.81,8971
1395871381.82,9058
1395871382.82,9145
1395871383.72,9195
1395871383.82,9232
1395871384.72,9282
1395871384.82,9319
1395871385.72,9369
1395871385.82,9406
1395871386.72,9456
1395871386.82,9493
1395871387.82,9580
1395871388.72,9630
1395871388.82,9667
1395871389.72,9717
1395871389.82,9754
1395871390.72,9804
1395871390.82,9841
1395871391.93,9928
1395871392.85,9978
1395871392.94,10015
1395871394.05,10102
1395871394.85,10152
1395871394.94,10189
1395871395.85,10239
1395871395.94,10276
1395871397.05,10363
1395871398.05,10450
1395871398.13,10455
